transaction_id;transaction_date;amount;card_num;oper_type;oper_result;terminal
43853694275;2021-03-02 00:00:00;7000,00;4600 5574 2101 5919;DEPOSIT;SUCCESS;A3763
43853694799;2021-03-02 00:00:02;6487,10;2952 8446 8682 3243;PAYMENT;SUCCESS;P3218
43853695039;2021-03-02 00:00:08;1079,60;2714 8073 9433 4375;PAYMENT;SUCCESS;P1949
43853695392;2021-03-02 00:00:16;3665,90;4136 7653 1883 9425;PAYMENT;SUCCESS;P8663
43853696153;2021-03-02 00:00:19;8200,00;4513 5880 2369 1799;DEPOSIT;SUCCESS;A7709
43853696174;2021-03-02 00:00:22;6200,00;5407 2931 6465 7475;WITHDRAW;SUCCESS;A6755
43853696294;2021-03-02 00:00:32;4100,00;5977 4718 2395 1826;DEPOSIT;SUCCESS;A9109
43853697227;2021-03-02 00:00:39;2600,00;2931 7848 3041 1492;DEPOSIT;SUCCESS;A6387
43853697813;2021-03-02 00:00:48;8100,00;4110 5366 9118 4790;DEPOSIT;SUCCESS;A9878
43853698387;2021-03-02 00:00:53;8500,00;4843 6911 1761 9235;WITHDRAW;SUCCESS;A3800
43853699165;2021-03-02 00:00:59;5200,00;4202 3659 7174 8966;WITHDRAW;SUCCESS;A8676
43853699565;2021-03-02 00:01:09;8600,00;2532 6974 2674 2795;WITHDRAW;REJECT;A5532
43853699758;2021-03-02 00:01:12;3487,10;2468 9848 4684 1182;PAYMENT;SUCCESS;P7869
43853699904;2021-03-02 00:01:17;6003,00;5888 3481 1436 7828;PAYMENT;SUCCESS;P6958
43853700359;2021-03-02 00:01:26;9913,20;5612 1030 8074 4819;PAYMENT;SUCCESS;P8667
43853700722;2021-03-02 00:01:32;3940,10;4243 6488 4324 6675;PAYMENT;SUCCESS;P3808
43853701419;2021-03-02 00:01:33;1200,00;2393 8762 8039 9540;DEPOSIT;SUCCESS;A8107
43853701794;2021-03-02 00:01:39;4000,00;4833 8834 8453 9638;DEPOSIT;SUCCESS;A1096
43853702361;2021-03-02 00:01:48;4500,00;5883 8925 8281 2462;WITHDRAW;SUCCESS;A8107
43853702712;2021-03-02 00:01:58;3600,00;4376 3076 4507 7172;WITHDRAW;SUCCESS;A6755
43853703625;2021-03-02 00:01:59;3293,50;2171 6670 7783 5859;PAYMENT;SUCCESS;P1113
43853704346;2021-03-02 00:02:02;1700,00;4634 6533 9709 3739;WITHDRAW;SUCCESS;A9748
43853704872;2021-03-02 00:02:08;5571,30;4582 5365 1742 8442;PAYMENT;SUCCESS;P9606
43853705497;2021-03-02 00:02:17;10000,00;2867 9845 3775 5788;WITHDRAW;SUCCESS;A1882
43853705686;2021-03-02 00:02:18;7375,50;2619 3189 8696 6696;PAYMENT;SUCCESS;P6949
43853706618;2021-03-02 00:02:28;1500,00;5817 5267 1135 9080;DEPOSIT;SUCCESS;A7859
43853707261;2021-03-02 00:02:31;1800,00;4136 7653 1883 9425;WITHDRAW;SUCCESS;A1096
43853707371;2021-03-02 00:02:33;2821,90;4524 6589 6054 8200;PAYMENT;SUCCESS;P1887
43853707994;2021-03-02 00:02:38;3600,00;2262 6913 4889 1910;DEPOSIT;SUCCESS;A8107
43853708005;2021-03-02 00:02:44;4489,20;4221 9345 2685 9938;PAYMENT;SUCCESS;P5839
43853708106;2021-03-02 00:02:49;8900,00;4892 2376 2685 8716;WITHDRAW;SUCCESS;A2674
43853708304;2021-03-02 00:02:50;7450,60;2343 9229 2085 3223;PAYMENT;SUCCESS;P8114
43853708339;2021-03-02 00:03:00;282,90;5444 2330 3692 4560;PAYMENT;SUCCESS;P3292
43853708885;2021-03-02 00:03:07;1521,40;4110 5366 9118 4790;PAYMENT;SUCCESS;P9606
43853708953;2021-03-02 00:03:16;303,10;5492 4860 3908 4984;PAYMENT;SUCCESS;P7403
43853709716;2021-03-02 00:03:25;600,00;4513 5880 2369 1799;WITHDRAW;SUCCESS;A1641
43853710112;2021-03-02 00:03:26;5434,90;2407 8127 7420 9639;PAYMENT;SUCCESS;P8946
43853710607;2021-03-02 00:03:28;4538,70;5492 8520 1279 4426;PAYMENT;SUCCESS;P1397
43853711586;2021-03-02 00:03:30;8276,20;2952 8446 8682 3243;PAYMENT;SUCCESS;P6949
43853711778;2021-03-02 00:03:32;1800,00;4601 7811 1351 3015;DEPOSIT;SUCCESS;A8454
43853711858;2021-03-02 00:03:33;9600,00;2222 7550 5577 7511;DEPOSIT;REJECT;A1641
43853712605;2021-03-02 00:03:35;4954,20;2619 3189 8696 6696;PAYMENT;SUCCESS;P8714
43853712975;2021-03-02 00:03:39;3900,00;2711 6654 6963 4653;WITHDRAW;SUCCESS;A7859
43853713204;2021-03-02 00:03:46;9300,00;4941 9746 6853 5012;DEPOSIT;SUCCESS;A3231
43853713999;2021-03-02 00:03:52;2700,00;4809 2924 9538 9622;WITHDRAW;REJECT;A6766
43853714419;2021-03-02 00:03:58;276,30;5706 4419 1074 9868;PAYMENT;SUCCESS;P4744
43853715123;2021-03-02 00:04:07;9678,20;5342 7470 8551 2896;PAYMENT;SUCCESS;P5262
43853715642;2021-03-02 00:04:08;3000,00;4394 1011 3271 7516;WITHDRAW;REJECT;A5128
43853716399;2021-03-02 00:04:17;6539,00;2124 5441 4930 1032;PAYMENT;SUCCESS;P9978
43853716884;2021-03-02 00:04:26;6200,00;2931 7848 3041 1492;DEPOSIT;SUCCESS;A6387
43853717353;2021-03-02 00:04:27;900,00;5554 4409 3010 5096;WITHDRAW;SUCCESS;A7368
43853718172;2021-03-02 00:04:28;8200,00;4156 8103 2566 3980;DEPOSIT;SUCCESS;A9052
43853718920;2021-03-02 00:04:30;5916,90;4218 6695 9574 6745;PAYMENT;SUCCESS;P8714
43853719590;2021-03-02 00:04:40;8226,10;5273 5585 7959 5548;PAYMENT;SUCCESS;P9974
43853719717;2021-03-02 00:04:50;7800,00;5901 3598 1337 3802;DEPOSIT;SUCCESS;A6603
43853719774;2021-03-02 00:04:57;9093,70;4110 5366 9118 4790;PAYMENT;SUCCESS;P8667
43853719906;2021-03-02 00:05:03;1700,00;4770 2998 9499 6994;WITHDRAW;SUCCESS;A9547
43853720074;2021-03-02 00:05:10;2400,00;5916 5383 9079 2715;DEPOSIT;SUCCESS;A5301
43853720517;2021-03-02 00:05:16;9258,00;2811 2188 1259 5786;PAYMENT;SUCCESS;P2829
43853721018;2021-03-02 00:05:25;8062,80;5342 7470 8551 2896;PAYMENT;SUCCESS;P5262
43853721157;2021-03-02 00:05:27;4600,00;2121 3653 4477 1121;DEPOSIT;SUCCESS;A3939
43853721586;2021-03-02 00:05:34;3600,00;4136 7653 1883 9425;DEPOSIT;SUCCESS;A1096
43853721755;2021-03-02 00:05:36;4479,50;2498 6953 9313 2613;PAYMENT;REJECT;P3462
43853722696;2021-03-02 00:05:39;8208,60;4218 6695 9574 6745;PAYMENT;SUCCESS;P3218
43853723647;2021-03-02 00:05:48;300,00;5407 2931 6465 7475;DEPOSIT;SUCCESS;A6204
43853723881;2021-03-02 00:05:50;10000,00;4435 6757 7898 4375;DEPOSIT;SUCCESS;A6387
43853724306;2021-03-02 00:05:55;8710,00;4714 5486 8211 6044;PAYMENT;REJECT;P1107
43853724653;2021-03-02 00:06:03;7840,00;2468 9848 4684 1182;PAYMENT;SUCCESS;P4478
43853724825;2021-03-02 00:06:08;9098,40;2532 5413 6970 8517;PAYMENT;SUCCESS;P3451
43853725217;2021-03-02 00:06:15;2500,00;4980 6330 7959 3914;WITHDRAW;REJECT;A6659
43853725852;2021-03-02 00:06:23;1500,00;4202 3659 7174 8966;DEPOSIT;SUCCESS;A6387
43853726353;2021-03-02 00:06:25;4000,00;5120 4180 7085 4814;DEPOSIT;SUCCESS;A8454
43853727178;2021-03-02 00:06:29;4400,00;2212 8320 8266 8421;WITHDRAW;REJECT;A3763
43853727494;2021-03-02 00:06:34;9859,30;2184 5218 2570 8401;PAYMENT;SUCCESS;P1113
43853727504;2021-03-02 00:06:36;200,00;2184 6515 5346 6354;DEPOSIT;SUCCESS;A1553
43853727662;2021-03-02 00:06:38;5095,70;4490 7403 6863 3072;PAYMENT;SUCCESS;P2250
43853727873;2021-03-02 00:06:45;7700,00;4770 2998 9499 6994;DEPOSIT;SUCCESS;A9547
43853728761;2021-03-02 00:06:48;6279,20;4363 3791 4850 9502;PAYMENT;SUCCESS;P2230
43853729621;2021-03-02 00:06:52;8124,80;5145 7320 9822 2030;PAYMENT;SUCCESS;P3292
43853729863;2021-03-02 00:06:53;8279,30;4218 6695 9574 6745;PAYMENT;SUCCESS;P6949
43853730273;2021-03-02 00:06:57;2676,10;2393 8762 8039 9540;PAYMENT;SUCCESS;P6147
43853730644;2021-03-02 00:07:04;8200,00;4435 6757 7898 4375;DEPOSIT;SUCCESS;A8676
43853731316;2021-03-02 00:07:06;8800,00;2184 5218 2570 8401;WITHDRAW;SUCCESS;A6659
43853731594;2021-03-02 00:07:16;5800,00;2124 5441 4930 1032;WITHDRAW;SUCCESS;A8107
43853732477;2021-03-02 00:07:23;9859,10;2644 4469 1396 9953;PAYMENT;SUCCESS;P3292
43853733422;2021-03-02 00:07:33;9400,00;2670 2925 6125 2319;WITHDRAW;SUCCESS;A8676
43853734064;2021-03-02 00:07:36;6165,20;4941 9746 6853 5012;PAYMENT;REJECT;P6335
43853734570;2021-03-02 00:07:38;6500,00;4980 6330 7959 3914;WITHDRAW;SUCCESS;A1642
43853735472;2021-03-02 00:07:48;900,00;4202 3659 7174 8966;DEPOSIT;SUCCESS;A6387
43853735779;2021-03-02 00:07:58;1430,10;5317 9632 6051 2671;PAYMENT;SUCCESS;P9606
43853736399;2021-03-02 00:08:00;4678,00;4878 7072 4028 5411;PAYMENT;SUCCESS;P2585
43853736574;2021-03-02 00:08:03;7486,70;5388 7275 4625 4127;PAYMENT;SUCCESS;P8114
43853736799;2021-03-02 00:08:06;5700,00;5120 4180 7085 4814;DEPOSIT;SUCCESS;A8454
43853737671;2021-03-02 00:08:09;2600,00;4779 7443 3611 4224;DEPOSIT;SUCCESS;A9314
43853737702;2021-03-02 00:08:15;7900,00;2222 7550 5577 7511;DEPOSIT;REJECT;A1641
43853737744;2021-03-02 00:08:16;9900,00;2839 6505 5906 9646;DEPOSIT;SUCCESS;A5083
43853738232;2021-03-02 00:08:24;2042,90;5561 5823 9271 3878;PAYMENT;SUCCESS;P7869
43853738360;2021-03-02 00:08:34;9900,00;4136 7653 1883 9425;DEPOSIT;SUCCESS;A7985
43853738421;2021-03-02 00:08:38;7700,00;5706 4419 1074 9868;DEPOSIT;SUCCESS;A5235
43853739386;2021-03-02 00:08:42;8626,70;5510 4999 1668 3676;PAYMENT;SUCCESS;P6934
43853740229;2021-03-02 00:08:45;5500,00;4363 1583 1755 1623;DEPOSIT;SUCCESS;A8966
43853741054;2021-03-02 00:08:49;1400,00;2121 3653 4477 1121;DEPOSIT;SUCCESS;A3786
43853741441;2021-03-02 00:08:53;3087,80;5859 6145 9122 1643;PAYMENT;SUCCESS;P8410
43853741676;2021-03-02 00:09:02;500,00;2670 2925 6125 2319;DEPOSIT;SUCCESS;A8676
43853742005;2021-03-02 00:09:12;700,00;2979 3180 6757 7577;WITHDRAW;SUCCESS;A7123
43853742630;2021-03-02 00:09:21;5901,20;4422 8510 8242 3474;PAYMENT;SUCCESS;P1113
43853742968;2021-03-02 00:09:27;800,00;2960 7155 8356 5653;DEPOSIT;SUCCESS;A8312
43853743625;2021-03-02 00:09:30;91,10;5727 3333 6396 8638;PAYMENT;SUCCESS;P4910
43853744210;2021-03-02 00:09:33;900,00;5400 5072 1464 2202;DEPOSIT;SUCCESS;A9109
43853744448;2021-03-02 00:09:36;4678,90;4190 6637 1502 7570;PAYMENT;SUCCESS;P3128
43853744508;2021-03-02 00:09:38;9200,00;2424 2804 5385 7964;WITHDRAW;SUCCESS;A9052
43853744815;2021-03-02 00:09:48;4300,00;4190 6637 1502 7570;DEPOSIT;SUCCESS;A2758
43853745536;2021-03-02 00:09:58;7500,00;4451 2457 5402 6494;WITHDRAW;SUCCESS;A7859
43853745654;2021-03-02 00:10:06;8916,50;2301 4248 3167 6425;PAYMENT;SUCCESS;P7451
43853745693;2021-03-02 00:10:11;1905,80;4892 2376 2685 8716;PAYMENT;SUCCESS;P6162
43853746111;2021-03-02 00:10:16;4010,80;5883 8925 8281 2462;PAYMENT;SUCCESS;P9978
43853746407;2021-03-02 00:10:17;7900,00;4542 1014 1743 8082;WITHDRAW;SUCCESS;A5532
43853746929;2021-03-02 00:10:20;1100,00;4190 6637 1502 7570;WITHDRAW;SUCCESS;A7859
43853747908;2021-03-02 00:10:28;700,00;5492 8520 1279 4426;DEPOSIT;SUCCESS;A6603
43853748392;2021-03-02 00:10:36;3800,00;5810 8922 1340 2842;DEPOSIT;SUCCESS;A3939
43853748403;2021-03-02 00:10:38;3688,80;2784 4402 4518 9428;PAYMENT;SUCCESS;P3218
43853749395;2021-03-02 00:10:39;679,20;2124 5441 4930 1032;PAYMENT;SUCCESS;P9978
43853749974;2021-03-02 00:10:48;3038,50;5561 5823 9271 3878;PAYMENT;SUCCESS;P4478
43853750744;2021-03-02 00:10:56;3500,00;2644 4469 1396 9953;DEPOSIT;SUCCESS;A6069
43853750884;2021-03-02 00:11:05;8300,00;5810 8922 1340 2842;DEPOSIT;SUCCESS;A3786
43853751407;2021-03-02 00:11:08;8454,80;5360 6606 7024 6874;PAYMENT;SUCCESS;P7575
43853752365;2021-03-02 00:11:16;5000,00;2297 5825 3755 3296;WITHDRAW;SUCCESS;A5830
43853752771;2021-03-02 00:11:18;7637,30;4634 6533 9709 3739;PAYMENT;SUCCESS;P4744
43853752902;2021-03-02 00:11:27;8710,60;2407 8127 7420 9639;PAYMENT;SUCCESS;P8946
43853752955;2021-03-02 00:11:36;1300,00;5407 2931 6465 7475;DEPOSIT;SUCCESS;A6755
43853753092;2021-03-02 00:11:45;400,00;2171 6670 7783 5859;DEPOSIT;SUCCESS;A6659
43853753866;2021-03-02 00:11:54;3600,00;4311 1618 6334 8798;DEPOSIT;SUCCESS;A3231
43853754327;2021-03-02 00:12:02;2700,00;2670 2925 6125 2319;DEPOSIT;SUCCESS;A6387
43853755135;2021-03-02 00:12:04;1500,00;2593 1441 2788 3826;DEPOSIT;SUCCESS;A6714
43853755342;2021-03-02 00:12:05;3699,90;5987 6550 1209 8987;PAYMENT;SUCCESS;P1113
43853755683;2021-03-02 00:12:10;5819,80;2921 9113 5050 3218;PAYMENT;REJECT;P3814
43853756434;2021-03-02 00:12:18;2700,00;5388 7275 4625 4127;DEPOSIT;SUCCESS;A6773
43853756824;2021-03-02 00:12:27;9600,00;4296 9054 7346 2895;WITHDRAW;SUCCESS;A7800
43853757718;2021-03-02 00:12:31;6300,00;5145 7320 9822 2030;WITHDRAW;SUCCESS;A6069
43853758424;2021-03-02 00:12:32;1900,00;2490 7277 7157 8776;DEPOSIT;SUCCESS;A8312
43853759040;2021-03-02 00:12:41;2900,00;5561 5823 9271 3878;WITHDRAW;SUCCESS;A8367
43853759862;2021-03-02 00:12:47;6500,00;5916 5383 9079 2715;WITHDRAW;SUCCESS;A3800
43853760412;2021-03-02 00:12:49;3337,30;2393 8762 8039 9540;PAYMENT;SUCCESS;P9978
43853761401;2021-03-02 00:12:55;8900,00;2121 3653 4477 1121;DEPOSIT;REJECT;A1553
43853761716;2021-03-02 00:12:56;8652,30;5446 7140 1709 4871;PAYMENT;SUCCESS;P8262
43853762165;2021-03-02 00:12:59;4983,30;5165 2868 7197 8121;PAYMENT;SUCCESS;P2585
43853762839;2021-03-02 00:13:09;583,60;5464 3141 3504 8481;PAYMENT;REJECT;P3149
43853763600;2021-03-02 00:13:14;5600,00;4601 7811 1351 3015;WITHDRAW;SUCCESS;A7275
43853764486;2021-03-02 00:13:20;6400,00;4202 3659 7174 8966;WITHDRAW;SUCCESS;A6387
43853764559;2021-03-02 00:13:27;9254,60;2877 6917 8478 6954;PAYMENT;SUCCESS;P9862
43853764741;2021-03-02 00:13:29;5200,00;2696 7847 9960 9133;DEPOSIT;SUCCESS;A7800
43853765551;2021-03-02 00:13:31;8300,00;2121 3653 4477 1121;DEPOSIT;SUCCESS;A1553
